汉字,漢越語,IPA
卺,Cẩn,kɤn3
厓,Nhai,ɲa:j1
叔,Thúc,t'uk7
叕,Chuyết,tʂwiet7
取,Thủ,t'u3
呝,Ách,a:ʧ7
呢,Ni,ni1
呦,U,u1
周,Chu,tʂu1
呪,Chú,tʂu5
呫,Chiếp,tʂiep7
呱,Oa,wa:1
味,Vị,vi6
呴,Ha,ha:1
呵,A,a:1
呶,Nao,na:w1
呷,Hạp,ha:p8
呸,Phi,fi1
呻,Thân,t'ɤn1
呼,Hô,ho1
命,Mệnh,meɲ6
呿,Khư,xɯ1
咀,Trớ,tʂɤ:5
咀,Tứ,tɯ5
咄,Đốt,dot7
咄,Đoát,dwa:t7
咆,Bào,ba:w2
咈,Phất,fɤt7
咋,Trách,tʂa:ʧ7
和,Hòa,hwa:2
和,Họa,hwa:6
咍,Hai,ha:j1
咎,Cữu,kɯw4
咏,Vịnh,viɲ6
囷,Khuân,xwɤn1
囹,Linh,liɲ1
固,Cố,ko5
坡,Pha,fa:1
坤,Khôn,xon1
坦,Thản,t'a:n3
坩,Kham,xa:m1
坪,Bình,biɲ2
坫,Điếm,diem5
坯,Bôi,boj1
坰,Quynh,kwiɲ1
坳,Ao,a:w1
坷,Khả,xa:3
坺,Bạt,ba:t8
坻,Trì,tʂi2
坻,Để,de3
坼,Sách,ʂa:ʧ7
坿,Phụ,fu6
垂,Thùy,t'wi2
夌,Lăng,laŋ1
夜,Dạ,za:6
奄,Yểm,iem3
奇,Kì,ki2
奈,Nại,na:j6
奉,Bổng,boŋ3
奔,Bôn,bon1
妬,Đố,do5
妯,Trục,tʂuk8
妯,Trừu,tʂɯw2
妲,Đát,da:t7
妸,A,a:1
妹,Muội,muoj6
妻,Thê,t'e1
妾,Thiếp,t'iep7
姁,Hủ,hu3
姆,Mỗ,mo4
始,Thủy,t'wi3
姍,San,ʂa:n1
姐,Tả,ta:3
姑,Cô,ko1
姓,Tính,tiɲ5
委,Ủy,wi3
孟,Mạnh,ma:ɲ6
季,Quý,kwi5
孤,Cô,ko1
孥,Nô,no1
宓,Mật,mɤt8
宕,Đãng,da:ŋ4
宗,Tông,toŋ1
官,Quan,kwa:n1
宙,Trụ,tʂu6
定,Định,diɲ6
宛,Uyển,wien3
宜,Nghi,ŋi1
尚,Thượng,t'ɯɤŋ6
居,Cư,kɯ1
屆,Giới,ʑɤ:j5
屈,Khuất,xwɤt7
届,Giới,ʑɤ:j5
岡,Cương,kɯɤŋ1
岢,Khả,xa:3
岣,Cẩu,kɤw3
岧,Thiều,t'iew2
岫,Tụ,tu6
岱,Đại,da:j6
岳,Nhạc,ɲa:k8
岵,Hỗ,ho4
岷,Dân,zɤn1
岸,Ngạn,ŋa:n6
巫,Vu,vu1
帑,Thảng,t'a:ŋ3
帓,Mạt,ma:t8
帔,Bí,bi5
帕,Phách,fa:ʧ7
帖,Thiếp,t'iep7
帙,Trật,tʂɤt8
帚,Chửu,tʂɯw3
帛,Bạch,ba:ʧ8
幷,Tinh,tiɲ1
幷,Bình,biɲ2
幸,Hạnh,ha:ɲ6
底,Để,de3
庖,Bào,ba:w2
店,Điếm,diem5
庚,Canh,ka:ɲ1
府,Phủ,fu3
建,Kiến,kien5
弆,Khí,xi5
弢,Thao,t'a:w1
弤,Để,de3
弦,Huyền,hwien2
弧,Hồ,ho2
弩,Nỗ,no4
彔,Lục,luk8
彼,Bỉ,bi3
彿,Phất,fɤt7
往,Vãng,va:ŋ4
征,Chinh,tʂiɲ1
徂,Tồ,to2
忝,Thiểm,t'iem3
忠,Trung,tʂuŋ1
忩,Thông,t'oŋ1
念,Niệm,niem6
忽,Hốt,hot7
忿,Phẫn,fɤn4
怍,Tạc,ta:k8
怏,Ưởng,ɯɤŋ3
怔,Chinh,tʂiɲ1
怕,Phạ,fa:6
怖,Bố,bo5
怙,Hỗ,ho4
怛,Đát,da:t7
怡,Di,zi1
怦,Phanh,fa:ɲ1
性,Tính,tiɲ5
怩,Ni,ni1
怪,Quái,kwa:j5
怫,Phí,fi5
怫,Phật,fɤt8
怯,Khiếp,xiep7
怳,Hoảng,hwan:ŋ3
怵,Truật,tʂwɤt8
戔,Tàn,ta:n2
戕,Tường,tɯɤŋ2
或,Hoặc,hwak8
戽,Hố,ho5
戾,Lệ,le6
戾,Liệt,liet8
房,Phòng,fɔŋ2
所,Sở,ʂɤ:3
承,Thừa,t'ɯɤ2
抨,Phanh,fa:ɲ1
披,Phi,fi1
抱,Bão,ba:w4
抵,Để,de3
抶,Sất,ʂɤt5
抹,Mạt,ma:t8
押,Áp,a:p7
抽,Trừu,tʂɯw2
拂,Phất,fɤt7
拄,Trụ,tʂu6
拇,Mẫu,mɤw4
拈,Niêm,niem1
拉,Lạp,la:p8
拊,Phụ,fu6
拌,Bạn,ba:n6
拍,Phách,fa:ʧ7
拎,Linh,liɲ1
拏,Noa,nwa:1
拐,Quải,kwa:j3
拑,Kiềm,kiem2
拓,Thác,t'a:k7
拔,Bạt,ba:t8
拕,Tha,t'a:1
拖,Tha,t'a:1
拗,Áo,a:w5
拘,Câu,kɤw1
拙,Chuyết,tʂwiet7
拚,Biện,bien6
招,Chiêu,tʂiew1
放,Phỏng,fɔŋ3
放,Phóng,fɔŋ5
斧,Phủ,fu3
斨,Thương,t'ɯɤŋ1
於,Ư,ɯ1
於,Ô,o1
旹,Thì,t'i2
旺,Vượng,vɯɤŋ6
旻,Mân,mɤn1
昂,Ngang,ŋa:ŋ1
昃,Trắc,tʂak7
昆,Côn,kon1
昇,Thăng,t'aŋ1
昉,Phưởng,fɯɤŋ3
昊,Hạo,ha:w6
昌,Xương,sɯɤŋ1
明,Minh,miɲ1
昏,Hôn,hon1
易,Dị,zi6
易,Dịch,ziʧ8
昔,Tích,tiʧ7
昕,Hân,hɤn1
朋,Bằng,baŋ2
服,Phục,fuk8
杪,Diểu,ziew3
杭,Hàng,ha:ŋ2
杯,Bôi,boj1
杰,Kiệt,kiet8
東,Đông,doŋ1
杲,Cảo,ka:w3
杳,Yểu,iew3
杵,Xử,sɯ3
杶,Suân,ʂwɤn1
杷,Bà,ba:2
杻,Nữu,nɯw4
杼,Trữ,tʂɯ4
松,Tùng,tuŋ2
板,Bản,ba:n3
枅,Phanh,fa:ɲ1
枇,Tì,ti2
枉,Uổng,uoŋ3
枋,Phương,fɯɤŋ1
枌,Phần,fɤn2
析,Tích,tiʧ7
枑,Hộ,ho6
枕,Chẩm,tʂɤm3
林,Lâm,lɤm1
枘,Nhuế,ɲwe5
枚,Mai,ma:j1
果,Quả,qwa:3
枝,Chi,tʂi1
枝,Kì,ki2
柜,Cự,kɯ6
欣,Hân,hɤn1
武,Vũ,vu4
歧,Kì,ki2
歿,Một,mot8
殀,Yểu,iew3
氓,Manh,ma:ɲ1
氛,Phân,fɤn1
沓,Đạp,da:p8
沫,Mạt,ma:t8
沬,Muội,muoj6
沭,Thuật,t'wɤt8
沮,Thư,t'ɯ1
沮,Trở,tʂɤ:3
沮,Tự,tɯ6
沱,Đà,da:2
河,Hà,ha:2
沴,Lệ,le6
沸,Phí,fi5
油,Du,zu1
治,Trị,tʂi6
沼,Chiểu,tʂiew3
沽,Cô,ko1
沾,Triêm,tʂiem1
沿,Duyên,zwien1
況,Huống,huoŋ5
泂,Huýnh,hwiɲ5
泄,Tiết,tiet7
泄,Duệ,zwe6
泅,Tù,tu2
泆,Dật,zɤt8
泊,Bạc,ba:k8
泌,Bí,bi5
泑,Ửu,ɯw3
泒,Cô,ko1
泓,Hoằng,hwaŋ2
泔,Cam,ka:m1
法,Pháp,fa:p7
泖,Mão,ma:w4
泗,Tứ,tɯ5
泝,Tố,to5
泠,Linh,liɲ1
泡,Phao,fa:w1
泡,Bào,ba:w2
波,Ba,ba:1
泣,Khấp,xɤp7
泥,Nê,ne1
注,Chú,tʂu5
泫,Huyễn,hwien4
泮,Phán,fa:n5
泯,Dân,zɤn1
泯,Mẫn,mɤn4
泱,Ương,ɯɤŋ1
泳,Vịnh,viɲ6
炁,Khí,xi5
炊,Xuy,swi1
炎,Viêm,viem1
炒,Sao,ʂa:w1
炕,Kháng,xa:ŋ5
炙,Chích,tʂiʧ7
炙,Chá,tʂa:5
炬,Cự,kɯ6
爬,Ba,ba:1
爭,Tranh,tʂa:ɲ1
爸,Ba,ba:1
牀,Sàng,ʂa:ŋ2
版,Bản,ba:n3
牧,Mục,muk8
物,Vật,vɤt8
狀,Trạng,tʂa:ŋ6
狌,Tinh,tiɲ1
狎,Hiệp,hiep8
狐,Hồ,ho2
狒,Phí,fi5
狓,Phi,fi1
狖,Dứu,zɯw5
狗,Cẩu,kɤw3
狙,Thư,t'ɯ1
狚,Đán,da:n5
玞,Phu,fu1
玦,Quyết,kwiet7
玨,Giác,ʑa:k7
玩,Ngoạn,ŋwa:n6
玫,Mân,mɤn1
瓬,Phưởng,fɯɤŋ3
瓮,Úng,uŋ5
畀,Tí,ti5
畂,Điền,dien2
疘,Giang,ʑa:ŋ1
疙,Ngật,ŋɤt8
疚,Cứu,kɯw5
疝,Sán,ʂa:n5
的,Đích,diʧ7
盂,Vu,vu1
盱,Hu,hu1
盲,Manh,ma:ɲ1
直,Trực,tʂɯk8
知,Tri,tʂi1
矻,Ngột,ŋot8
矼,Cang,ka:ŋ1
祇,Kì,ki2
祇,Chi,tʂi1
祈,Kì,ki2
祉,Chỉ,tʂi3
祊,Banh,ba:ɲ1
秆,Cán,ka:n5
秈,Tiên,tien1
秉,Bỉnh,biɲ3
秊,Niên,nien1
穸,Tịch,tiʧ8
穹,Khung,xuŋ1
空,Không,koŋ1
空,Khống,koŋ5
竺,Trúc,tʂuk7
竺,Đốc,dok7
糾,Củ,ku3
罔,Võng,vɔŋ4
者,Giả,ʑa:3
耶,Da,za:1
股,Cổ,ko3
肢,Chi,tʂi1
肥,Phì,fi2
肧,Phôi,foj1
肩,Kiên,kien1
肪,Phương,fɯɤŋ1
肫,Truân,tʂwɤn1
肬,Vưu,vɯw1
肭,Nạp,na:p8
肯,Khẳng,xaŋ3
肱,Quăng,kwaŋ1
育,Dục,zuk8
肴,Hào,ha:w2
肸,Hật,hɤt8
肺,Phế,fe5
胏,Chỉ,tʂi3
臥,Ngọa,ŋwa:6
臾,Du,zu1
舍,Xả,sa:3
舍,Xá,sa:5
舠,Đao,da:w1
苑,Uyển,wien3
苒,Nhiễm,ɲiem4
苓,Linh,liɲ1
苔,Đài,da:j2
苕,Thiều,t'iew2
苖,Địch,diʧ8
苗,Miêu,miew1
苙,Lập,lɤp8
苛,Hà,ha:2
苜,Mục,muk8
苞,Bao,ba:w1
苟,Cẩu,kɤw3
苢,Dĩ,zi4
若,Nhã,ɲa:4
若,Nhược,ɲɯɤk8
苦,Khổ,ko3
苧,Trữ,tʂɯ4
苫,Thiêm,t'iem1
苯,Bổn,bon3
英,Anh,a:ɲ1
苴,Tư,tɯ1
苶,Niết,niet7
苹,Bình,biɲ2
苺,Môi,moj1
苻,Phù,fu2
苽,Cô,ko1
苾,Bật,bɤt8
茀,Phất,fɤt7
茁,Truất,tʂwɤt7
茂,Mậu,mɤw6
范,Phạm,fa:m6
茄,Gia,ʑa:1
茅,Mao,ma:w1
茆,Lữu,lɯw4
茇,Bạt,ba:t8
虎,Hổ,ho3
虯,Cầu,kɤw2
表,Biểu,biew3
衩,Xái,sa:j5
衫,Sam,ʂa:m1
軋,Yết,iet7
迢,Điều,diew2
迥,Huýnh,hwiɲ5
迦,Ca,ka:1
迦,Già,ʑa:2
迨,Đãi,da:j4
迪,Địch,diʧ8
迫,Bách,ba:ʧ7
迭,Điệt,diet8
述,Thuật,t'wɤt8
邾,Chu,tʂu1
郁,Úc,uk7
郃,Cáp,ka:p7
郅,Chất,tʂɤt7
郇,Tuân,twɤn1
郈,Hậu,hɤw6
郉,Hình,hiɲ2
郊,Giao,ʑa:w1
郎,Lang,la:ŋ1
采,Thải,t'a:j3
金,Kim,kim1
長,Trường,tʂɯɤŋ2
長,Trưởng,tʂɯɤŋ3
門,Môn,mon1
阜,Phụ,fu6
陋,Lậu,lɤw6
陌,Mạch,ma:ʧ8
降,Giáng,ʑa:ŋ5
降,Hàng,ha:ŋ2
限,Hạn,ha:n6
陔,Cai,ka:j1
陕,Thiểm,t'iem3
隶,Đãi,da:j4
隹,Chuy,tʂwi1
雨,Vũ,vu4
雨,Vú,vu5
青,Thanh,t'a:ɲ1
非,Phi,fi1
亭,Đình,diɲ2
亮,Lượng,lɯɤŋ6
亯,Hanh,ha:ɲ1
侮,Vũ,vu4
侯,Hầu,hɤw2
侵,Xâm,sɤm1
侶,Lữ,lɯ4
侷,Cục,kuk8
便,Tiện,tien6
係,Hệ,he6
促,Thúc,t'uk7
俄,Nga,ŋa:1
俊,Tuấn,twɤn5
俎,Trở,tʂɤ:3
俏,Tiếu,tiew5
俑,Dũng,zuŋ4
俗,Tục,tuk8
俘,Phu,fu1
俚,Lí,li5
俛,Miễn,mien4
俜,Binh,biɲ1
保,Bảo,ba:w3
俞,Du,zu1
俟,Sĩ,ʂi4
俠,Hiệp,hiep8
信,Tín,tin5
修,Tu,tu1
兗,Duyện,zwien6
兹,Tư,tɯ1
冑,Trụ,tʂu6
冒,Mạo,ma:w6
冒,Mặc,mak8
冠,Quan,kwa:n1
冠,Quán,kwa:n5
剃,Thế,t'e5
剄,Hĩnh,hiɲ4
則,Tắc,tak7
剉,Tỏa,twa:3
削,Tước,tɯɤk7
剋,Khắc,xak7
剌,Lạt,la:t8
前,Tiền,tien2
剎,Sát,ʂa:t7
勁,Kính,kiɲ5
勃,Bột,bot8
勅,Sắc,ʂak7
勇,Dũng,zuŋ4
勉,Miễn,mien4
匍,Bồ,bo2
南,Nam,na:m1
卸,Tá,ta:5
卻,Khước,xɯɤk7
卼,Ngột,ŋot8
卽,Tức,tɯk7
厖,Mang,ma:ŋ1
厙,Xá,sa:5
厚,Hậu,hɤw6
受,Thụ,t'u6
叚,Giả,ʑa:3
叛,Bạn,ba:n6
呰,Tử,tɯ3
咤,Trá,tʂa5
咥,Điệt,diet8
咥,Hí,hi1
咦,Di,zi1
咨,Tư,tɯ1
咫,Chỉ,tʂi3
咬,Giảo,ʑa:w3
咯,Khách,xa:ʧ7
咳,Khái,xa:j5
咷,Đào,da:w2
咸,Hàm,ha:m2
咻,Hưu,hɯw1
咻,Hủ,hu3
咽,Yết,iet7
咿,Y,i1
哀,Ai,a:j1
品,Phẩm,fɤm3
哂,Sẩn,ʂɤn3
哄,Hống,hoŋ5
哆,Sỉ,ʂi3
哆,Đá,da:5
哇,Oa,wa:1
哈,Cáp,ka:p7
哉,Tai,ta:j1
囿,Hữu,hɯw4
型,Hình,hiɲ2
垓,Cai,ka:j1
垛,Đóa,dwa:5
垠,Ngân,ŋɤn1
垢,Cấu,kɤw5
垣,Viên,vien1
垤,Điệt,diet8
城,Thành,t'a:ɲ2
埏,Duyên,zwien1
奎,Khuê,xwe1
奏,Tấu,tɤw5
奐,Hoán,hwa:n5
契,Khế,xe5
契,Khất,xɤt7
契,Khiết,xiep7
奕,Dịch,ziʧ8
姘,Phanh,fa:ɲ1
姚,Diêu,ziew1
姜,Khương,xɯɤŋ1
姝,Xu,su1
姞,Cật,kɤt8
姣,Giảo,ʑa:w3
姤,Cấu,kɤw5
姥,Mỗ,mo4
姥,Lão,la:w4
姦,Gian,ʑa:n1
姨,Di,zi1
姪,Điệt,diet8
姱,Khoa,xwa:1
姹,Xá,sa:5
姻,Nhân,ɲɤn1
姿,Tư,tɯ1
娀,Tung,tuŋ1
威,Uy,wi1
娃,Oa,wa:1
娜,Na,na:1
孩,Hài,ha:j2
客,Khách,xa:ʧ7
宣,Tuyên,twien1
室,Thất,t'ɤt7
宥,Hựu,hɯw6
宦,Hoạn,hwa:n6
封,Phong,fɔŋ1
屋,Ốc,ok7
屍,Thi,t'i1
屎,Thỉ,t'i3
屏,Bình,biɲ2
峋,Tuân,twɤn1
峒,Đồng,doŋ2
峒,Động,doŋ6
峙,Trĩ,tʂi4
峛,Lệ,le6
差,Si,ʂi1
差,Sai,ʂa:j1
差,Sai,ʂa:j1
差,Sái,ʂa:j5
巷,Hạng,ha:ŋ6
巹,Cẩn,kɤn3
帝,Đế,de5
帢,Kháp,xa:p7
帥,Soái,ʂwa:j5
帥,Suất,ʂwɤt7
幽,U,u1
庠,Tường,tɯɤŋ2
庥,Hưu,hɯw1
度,Độ,do6
度,Đạc,da:k8
庭,Đình,diɲ2
弇,Yểm,iem3
弈,Dịch,ziʧ8
弭,Nhị,ɲi6
彖,Thoán,t'wa:n5
彥,Ngạn,ŋa:n6
彧,Úc,uk7
彪,Bưu,bɯw1
待,Đãi,da:j4
徇,Tuẫn,twɤn4
很,Ngận,ŋɤn6
徉,Dương,zɯɤŋ1
徊,Hồi,hoj2
律,Luật,lwɤt8
後,Hậu,hɤw6
怒,Nộ,no6
思,Tư,tɯ1
怠,Đãi,da:j4
急,Cấp,kɤp7
怨,Oán,wa:n5
怱,Thông,t'oŋ1
恂,Tuân,twɤn1
恃,Thị,t'i6
恆,Hằng,haŋ2
恇,Khuông,xuoŋ1
恉,Chỉ,tʂi3
恍,Hoảng,hwan:ŋ3
恒,Hằng,haŋ2
恔,Hiệu,hiew6
恟,Hung,huŋ1
恠,Quái,kwa:j5
恢,Khôi,xoj1
恤,Tuất,twɤt7
恨,Hận,hɤn6
恪,Khác,xa:k7
恫,Đỗng,doŋ4
恬,Điềm,diem2
恰,Kháp,xa:p7
扁,Biển,bien3
扃,Quynh,kwiɲ1
拜,Bái,ba:j5
括,Quát,kwa:t7
拭,Thức,t'ɯk7
拮,Kiết,kiet7
拯,Chửng,tʂɯŋ3
拱,Củng,kuŋ3
拴,Thuyên,t'wien1
拶,Tạt,ta:t8
拼,Bính,biɲ5
拾,Thập,t'ɤp8
持,Trì,tʂi2
挂,Quải,kwa:j3
挅,Đỏa,dwa:3
指,Chỉ,tʂi3
按,Án,a:n5
挑,Khiêu,xiew1
挑,Thiểu,t'iew3
挪,Na,na:1
挺,Đĩnh,diɲ4
政,Chính,tʂiɲ5
敁,Điêm,diem1
敂,Khấu,xɤw5
故,Cố,ko5
斫,Chước,tʂɯɤk7
施,Thi,t'i1
施,Dị,zi6
施,Thí,t'i5
斿,Du,zu1
既,Kí,ki5
昚,Thận,t'ɤn6
昜,Dương,zɯɤŋ1
星,Tinh,tiɲ1
映,Ánh,a:ɲ5
春,Xuân,swɤn1
昧,Muội,muoj6
昨,Tạc,ta:k8
昫,Hú,hu5
昭,Chiêu,tʂiew1
是,Thị,t'i6
昱,Dục,zuk8
昳,Điệt,diet8
昴,Mão,ma:w4
昵,Nật,nɤt8
昶,Sưởng,ʂɯɤŋ3
曷,Hạt,ha:t8
枯,Khô,ko1
枰,Bình,biɲ2
枰,Bính,biɲ5
枲,Tỉ,ti3
枳,Chỉ,tʂi3
枴,Quải,kwa:j3
枵,Hiêu,hiew1
架,Giá,ʑa:5
枷,Gia,ʑa:1
枸,Cẩu,kɤw3
枹,Phu,fu1
枹,Bao,ba:w1
枹,Phù,fu2
枻,Duệ,zwe6
枼,Diệp,ziep8
柁,Đả,da:3
柄,Bính,biɲ5
柈,Bàn,ba:n2
柎,Phu,fu1
柏,Bách,ba:ʧ7
某,Mỗ,mo4
柑,Cam,ka:m1
柒,Thất,t'ɤt7
染,Nhiễm,ɲiem4
柔,Nhu,ɲu1
柘,Chá,tʂa:5
柙,Hiệp,hiep8
柚,Trục,tʂuk8
柚,Dữu,zɯw4
柝,Thác,t'a:k7
柞,Tạc,ta:k8
柟,Nam,na:m1
柠,Nịnh,niɲ6
柢,Để,de3
柢,Đế,de5
查,Tra,tʂa1
查,Tra,tʂa1
柩,Cữu,kɯw4
柬,Giản,ʑa:n3
柮,Đốt,dot7
柯,Kha,xa:1
柰,Nại,na:j6
柱,Trụ,tʂu6
柳,Liễu,liew4
柵,Sách,ʂa:ʧ7
柷,Chúc,tʂuk7
柿,Thị,t'i6
歪,Oai,wa:1
殂,Tồ,to2
殃,Ương,ɯɤŋ1
殄,Điễn,dien4
殆,Đãi,da:j4
段,Đoạn,dwa:n6
毒,Độc,dok8
毖,Bí,bi5
毗,Tì,ti2
毡,Chiên,tʂien1
泉,Tuyền,twien2
泚,Thử,t'ɯ3
洄,Hồi,hoj2
洊,Tiến,tien5
洋,Dương,zɯɤŋ1
洌,Liệt,liet8
洎,Kịp,kip8
洑,Phục,fuk8
洒,Sái,ʂa:j5
洗,Tẩy,tɤj3
洗,Tiển,tien3
洙,Thù,t'u2
洚,Giáng,ʑa:ŋ5
洛,Lạc,la:k8
洞,Động,doŋ6
洟,Di,zi1
洟,Thế,t'e5
津,Tân,tɤn1
洧,Vị,vi6
洨,Hào,ha:w2
洩,Duệ,zwe6
洪,Hồng,hoŋ2
洫,Hức,hɯk7
洮,Thao,t'a:w1
洱,Nhị,ɲi6
洲,Châu,tʂɤw1
洳,Như,ɲɯ1
洴,Bình,biɲ2
洵,Tuân,twɤn1
洶,Hung,huŋ1
洸,Quang,kwa:ŋ1
洹,Hoàn,hwa:n2
活,Hoạt,hwa:t8
洽,Hiệp,hiep8
派,Phái,fa:j5
洿,Ô,o1
涎,Duyên,zwien1
涎,Diện,zien6
炤,Chiếu,tʂiew5
炫,Huyễn,hwien4
炭,Thán,t'a:n5
炮,Bào,ba:w2
炮,Pháo,fa:w5
炯,Quýnh,kwiɲ5
炰,Bào,ba:w2
炱,Đài,da:j2
炳,Bỉnh,biɲ3
炷,Chú,tʂu5
爰,Viên,vien1
爼,Trở,tʂɤ:3
牁,Ca,ka:1
牯,Cổ,ko3
牲,Sinh,ʂiɲ1
牴,Để,de3
牵,Khiên,xien1
狡,Giảo,ʑa:w3
狨,Nhung,ɲuŋ1
狩,Thú,t'u5
玅,Diệu,ziew6
玲,Linh,liɲ1
玳,Đại,da:j6
玷,Điếm,diem5
玻,Pha,fa:1
珀,Phách,fa:ʧ7
珂,Kha,xa:1
珈,Già,ʑa:2
珉,Mân,mɤn1
珊,San,ʂa:n1
珍,Trân,tʂɤn1
瓴,Linh,liɲ1
甚,Thậm,t'ɤm6
畋,Điền,dien2
界,Giới,ʑɤ:j5
畎,Quyến,kwien5
畏,Úy,wi5
疢,Sấn,ʂɤn5
疣,Vưu,vɯw1
疤,Ba,ba:1
疥,Giới,ʑɤ:j5
疫,Dịch,ziʧ8
癸,Quý,kwi5
皆,Giai,ʑa:j1
皇,Hoàng,hwan:ŋ2
盃,Bôi,boj1
盅,Chung,tʂuŋ1
盆,Bồn,bon2
盈,Doanh,zwa:ɲ1
相,Tương,tɯɤŋ1
相,Tướng,tɯɤŋ5
盹,Truân,tʂwɤn1
盻,Hễ,he4
盼,Phán,fa:n5
盾,Thuẫn,t'wɤn4
省,Tỉnh,tiɲ3
省,Tỉnh,tiɲ3
眄,Miện,mien6
眇,Miễu,miew4
眈,Đam,da:m1
眉,Mi,mi1
眊,Mạo,ma:w6
看,Khán,xa:n5
看,Khan,xa:n1
眨,Trát,tʂa:t7
矜,Căng,kaŋ1
矦,Hầu,hɤw2
矧,Thẩn,t'ɤn3
矩,Củ,ku3
砂,Sa,ʂa:1
砉,Hoạch,hwa:ʧ8
砌,Thế,t'e5
砑,Nhạ,ɲa:6
砒,Tì,ti2
研,Nghiên,ŋien1
砭,Biêm,biem1
祐,Hữu,hɯw4
祓,Phất,fɤt7
祔,Phụ,fu6
祕,Bí,bi5
祖,Tổ,to3
祗,Chi,tʂi1
祚,Tộ,to6
祛,Khư,xɯ1
祜,Hỗ,ho4
祝,Chú,tʂu5
祝,Chúc,tʂuk7
神,Thần,t'ɤn2
祠,Từ,tɯ2
祢,Nỉ,ni3
禹,Vũ,vu4
禺,Ngu,ŋu1
秋,Thu,t'u1
科,Khoa,xwa:1
秒,Miểu,miew3
秔,Canh,ka:ɲ1
秕,Bỉ,bi3
秬,Cự,kɯ6
秭,Tỉ,ti3
穽,Tỉnh,tiɲ3
穿,Xuyên,swien1
窀,Truân,tʂwɤn1
突,Đột,dot8
窆,Biếm,biem5
竽,Vu,vu1
竿,Can,ka:n1
笈,Cấp,kɤp7
紀,Kỉ,ki3
紂,Trụ,tʂu6
紃,Xuyên,swien1
約,Ước,ɯɤk7
紅,Hồng,hoŋ2
紆,Hu,hu1
紇,Hột,hot8
紈,Hoàn,hwa:n2
紉,Nhân,ɲɤn1
級,Cấp,kɤp7
缸,Cang,ka:ŋ1
罘,Phù,fu2
美,Mĩ,mi4
羑,Dũ,zu4
羾,Hồng,hoŋ2
羿,Nghệ,ŋe6
耇,Cẩu,kɤw3
耎,Nhuyễn,ɲwien4
耐,Nại,na:j6
耔,Tỉ,ti3
胃,Vị,vi6
胄,Trụ,tʂu6
背,Bội,boj6
背,Bối,boj5
胎,Thai,t'a:j1
胖,Bàn,ba:n2
胙,Tộ,to6
胚,Phôi,foj1
胛,Giáp,ʑa:p7
胝,Chi,tʂi1
胞,Bào,ba:w2
胠,Khư,xɯ1
胡,Hồ,ho2
胤,Dận,zɤn6
胥,Tư,tɯ1
臿,Tráp,tʂa:p7
舁,Dư,zɯ1
舡,Hang,ha:ŋ1
茈,Sài,ʂa:j2
茗,Mính,miɲ5
茜,Thiến,t'ien5
茨,Tì,ti2
茫,Mang,ma:ŋ1
茭,Giao,ʑa:w1
茯,Phục,fuk8
茱,Thù,t'u2
茲,Tư,tɯ1
茴,Hồi,hoj2
茵,Nhân,ɲɤn1
茶,Trà,tʂa2
茸,Nhung,ɲuŋ1
茹,Như,ɲɯ1
茹,Nhự,ɲɯ6
茺,Sung,ʂuŋ1
荀,Tuần,twɤn2
荃,Thuyên,t'wien1
荄,Cai,ka:j1
荅,Đáp,da:p7
荇,Hạnh,ha:ɲ6
荈,Suyễn,ʂwien4
草,Thảo,t'a:w3
荊,Kinh,kiɲ1
荏,Nhẫm,ɲɤm4
荐,Tiến,tien5
荑,Di,zi1
荑,Đề,de2
荒,Hoang,hwan:ŋ1
荔,Lệ,le6
莒,Cử,kɯ3
莛,Đình,diɲ2
虐,Ngược,ŋɯɤk8
虹,Hồng,hoŋ2
虺,Hôi,hoj1
虺,Hủy,hwi3
蚤,Tảo,ta:w3
衁,Hoang,hwan:ŋ1
衍,Diễn,zien4
衎,Khản,xa:n3
衭,Phu,fu1
衲,Nạp,na:p8
衵,Nật,nɤt8
衽,Nhẫm,ɲɤm4
衿,Câm,kɤm1
袂,Mệ,me6
袂,Duệ,zwe6
袄,Áo,a:w5
要,Yêu,iew1
要,Yếu,iew5
訂,Đính,diɲ5
訃,Phó,fɔ5
訇,Hoanh,hwa:ɲ1
計,Kế,ke5
貞,Trinh,tʂiɲ1
負,Phụ,fu6
赳,Củ,ku3
赴,Phó,fɔ5
軌,Quỹ,kwi4
軍,Quân,kwɤn1
迷,Mê,me1
迸,Bính,biɲ5
迹,Tích,tiʧ7
迺,Nãi,na:j4
迻,Di,zi1
追,Truy,tʂwi1
退,Thoái,t'wa:j5
送,Tống,toŋ5
适,Quát,kwa:t7
逃,Đào,da:w2
逄,Bàng,ba:ŋ2
逅,Cấu,kɤw5
逆,Nghịch,ŋiʧ8
郛,Phu,fu1
郜,Cáo,ka:w5
郝,Hác,ha:k7
郟,Giáp,ʑa:p7
郡,Quận,kwɤn6
郢,Dĩnh,ziɲ4
郤,Khích,xiʧ7
酊,Đính,diɲ5
酋,Tù,tu2
重,Trùng,tʂuŋ2
重,Trọng,tʂɔŋ6
閂,Soan,ʂwa:n1
陛,Bệ,be6
陜,Thiểm,t'iem3
陝,Thiểm,t'iem3
陞,Thăng,t'aŋ1
陟,Trắc,tʂak7
陡,Đẩu,dɤw3
院,Viện,vien6
陣,Trận,tʂɤn6
除,Trừ,tʂɯ2
面,Diện,zien6
革,Cách,ka:ʧ7
韋,Vi,vi1
